# go_id	kind	status	crystal_refs	notes
filepicker/filepicker.go::func::DefaultKeyMap	func	in_progress		heuristically matched; task created; inferred_by=func_name
filepicker/filepicker.go::func::DefaultStyles	func	in_progress		heuristically matched; task created; inferred_by=func_name
filepicker/filepicker.go::func::New	func	in_progress		heuristically matched; task created; inferred_by=func_name
filepicker/filepicker.go::method::Model.DidSelectDisabledFile	method	in_progress		heuristically matched; task created; inferred_by=method_or_property_name
filepicker/filepicker.go::method::Model.DidSelectFile	method	in_progress		heuristically matched; task created; inferred_by=method_or_property_name
filepicker/filepicker.go::method::Model.Height	method	in_progress		heuristically matched; task created; inferred_by=method_or_property_name
filepicker/filepicker.go::method::Model.HighlightedPath	method	in_progress		heuristically matched; task created; inferred_by=method_or_property_name
filepicker/filepicker.go::method::Model.Init	method	in_progress		heuristically matched; task created; inferred_by=method_or_property_name
filepicker/filepicker.go::method::Model.SetHeight	method	in_progress		heuristically matched; task created; inferred_by=method_or_property_name
filepicker/filepicker.go::method::Model.Update	method	in_progress		heuristically matched; task created; inferred_by=method_or_property_name
filepicker/filepicker.go::method::Model.View	method	in_progress		heuristically matched; task created; inferred_by=method_or_property_name
filepicker/filepicker.go::struct::KeyMap	struct	in_progress		heuristically matched; task created; inferred_by=type_name
filepicker/filepicker.go::struct::Model	struct	in_progress		heuristically matched; task created; inferred_by=type_name
filepicker/filepicker.go::struct::Styles	struct	in_progress		heuristically matched; task created; inferred_by=type_name
filepicker/hidden_unix.go::func::IsHidden	func	missing		remaining backlog
filepicker/hidden_windows.go::func::IsHidden	func	missing		remaining backlog
help/help.go::func::DefaultDarkStyles	func	in_progress		heuristically matched; task created; inferred_by=func_name
help/help.go::func::DefaultLightStyles	func	in_progress		heuristically matched; task created; inferred_by=func_name
help/help.go::func::DefaultStyles	func	in_progress		heuristically matched; task created; inferred_by=func_name
help/help.go::func::New	func	in_progress		heuristically matched; task created; inferred_by=func_name
help/help.go::method::Model.FullHelpView	method	in_progress		heuristically matched; task created; inferred_by=method_or_property_name
help/help.go::method::Model.SetWidth	method	in_progress		heuristically matched; task created; inferred_by=method_or_property_name
help/help.go::method::Model.ShortHelpView	method	in_progress		heuristically matched; task created; inferred_by=method_or_property_name
help/help.go::method::Model.Update	method	in_progress		heuristically matched; task created; inferred_by=method_or_property_name
help/help.go::method::Model.View	method	in_progress		heuristically matched; task created; inferred_by=method_or_property_name
help/help.go::method::Model.Width	method	in_progress		heuristically matched; task created; inferred_by=method_or_property_name
help/help.go::struct::Model	struct	in_progress		heuristically matched; task created; inferred_by=type_name
help/help.go::struct::Styles	struct	in_progress		heuristically matched; task created; inferred_by=type_name
help/help.go::type::KeyMap	type	in_progress		heuristically matched; task created; inferred_by=type_name
help/help_test.go::test::TestFullHelp	test	missing		remaining backlog
list/defaultitem.go::func::NewDefaultDelegate	func	in_progress		heuristically matched; task created; inferred_by=func_name
list/defaultitem.go::func::NewDefaultItemStyles	func	in_progress		heuristically matched; task created; inferred_by=func_name
list/defaultitem.go::method::DefaultDelegate.FullHelp	method	in_progress		heuristically matched; task created; inferred_by=method_or_property_name
list/defaultitem.go::method::DefaultDelegate.Height	method	in_progress		heuristically matched; task created; inferred_by=method_or_property_name
list/defaultitem.go::method::DefaultDelegate.Render	method	in_progress		heuristically matched; task created; inferred_by=method_or_property_name
list/defaultitem.go::method::DefaultDelegate.SetHeight	method	in_progress		heuristically matched; task created; inferred_by=method_or_property_name
list/defaultitem.go::method::DefaultDelegate.SetSpacing	method	in_progress		heuristically matched; task created; inferred_by=method_or_property_name
list/defaultitem.go::method::DefaultDelegate.ShortHelp	method	in_progress		heuristically matched; task created; inferred_by=method_or_property_name
list/defaultitem.go::method::DefaultDelegate.Spacing	method	in_progress		heuristically matched; task created; inferred_by=method_or_property_name
list/defaultitem.go::method::DefaultDelegate.Update	method	in_progress		heuristically matched; task created; inferred_by=method_or_property_name
list/defaultitem.go::struct::DefaultDelegate	struct	in_progress		heuristically matched; task created; inferred_by=type_name
list/defaultitem.go::struct::DefaultItemStyles	struct	in_progress		heuristically matched; task created; inferred_by=type_name
list/defaultitem.go::type::DefaultItem	type	in_progress		heuristically matched; task created; inferred_by=type_name
list/keys.go::func::DefaultKeyMap	func	in_progress		heuristically matched; task created; inferred_by=func_name
list/keys.go::struct::KeyMap	struct	in_progress		heuristically matched; task created; inferred_by=type_name
list/list.go::const::FilterApplied	const	in_progress		heuristically matched; task created; inferred_by=const_name_variant
list/list.go::const::Filtering	const	in_progress		heuristically matched; task created; inferred_by=const_name_variant
list/list.go::const::Unfiltered	const	in_progress		heuristically matched; task created; inferred_by=const_name_variant
list/list.go::func::DefaultFilter	func	in_progress		heuristically matched; task created; inferred_by=func_name
list/list.go::func::New	func	in_progress		heuristically matched; task created; inferred_by=func_name
list/list.go::func::UnsortedFilter	func	in_progress		heuristically matched; task created; inferred_by=func_name
list/list.go::method::FilterState.String	method	in_progress		heuristically matched; task created; inferred_by=method_or_property_name
list/list.go::method::Model.Cursor	method	in_progress		heuristically matched; task created; inferred_by=method_or_property_name
list/list.go::method::Model.CursorDown	method	in_progress		heuristically matched; task created; inferred_by=method_or_property_name
list/list.go::method::Model.CursorUp	method	in_progress		heuristically matched; task created; inferred_by=method_or_property_name
list/list.go::method::Model.DisableQuitKeybindings	method	in_progress		heuristically matched; task created; inferred_by=method_or_property_name
list/list.go::method::Model.FilterState	method	in_progress		heuristically matched; task created; inferred_by=method_or_property_name
list/list.go::method::Model.FilterValue	method	in_progress		heuristically matched; task created; inferred_by=method_or_property_name
