# source_api_id	status	crystal_refs	notes
cursor/cursor.go::const::CursorBlink	missing	-	baseline
cursor/cursor.go::const::CursorHide	missing	-	baseline
cursor/cursor.go::const::CursorStatic	missing	-	baseline
cursor/cursor.go::func::Blink	missing	-	baseline
cursor/cursor.go::func::New	missing	-	baseline
cursor/cursor.go::method::Mode.String	missing	-	baseline
cursor/cursor.go::method::Model.Blink	missing	-	baseline
cursor/cursor.go::method::Model.Blur	missing	-	baseline
cursor/cursor.go::method::Model.Focus	missing	-	baseline
cursor/cursor.go::method::Model.Mode	missing	-	baseline
cursor/cursor.go::method::Model.SetChar	missing	-	baseline
cursor/cursor.go::method::Model.SetMode	missing	-	baseline
cursor/cursor.go::method::Model.Update	missing	-	baseline
cursor/cursor.go::method::Model.View	missing	-	baseline
cursor/cursor.go::struct::BlinkMsg	missing	-	baseline
cursor/cursor.go::struct::Model	missing	-	baseline
cursor/cursor.go::type::Mode	missing	-	baseline
filepicker/filepicker.go::func::DefaultKeyMap	missing	-	baseline
filepicker/filepicker.go::func::DefaultStyles	missing	-	baseline
filepicker/filepicker.go::func::New	missing	-	baseline
filepicker/filepicker.go::method::Model.DidSelectDisabledFile	missing	-	baseline
filepicker/filepicker.go::method::Model.DidSelectFile	missing	-	baseline
filepicker/filepicker.go::method::Model.Height	missing	-	baseline
filepicker/filepicker.go::method::Model.HighlightedPath	missing	-	baseline
filepicker/filepicker.go::method::Model.Init	missing	-	baseline
filepicker/filepicker.go::method::Model.SetHeight	missing	-	baseline
filepicker/filepicker.go::method::Model.Update	missing	-	baseline
filepicker/filepicker.go::method::Model.View	missing	-	baseline
filepicker/filepicker.go::struct::KeyMap	missing	-	baseline
filepicker/filepicker.go::struct::Model	missing	-	baseline
filepicker/filepicker.go::struct::Styles	missing	-	baseline
filepicker/hidden_unix.go::func::IsHidden	missing	-	baseline
filepicker/hidden_windows.go::func::IsHidden	missing	-	baseline
help/help.go::func::DefaultDarkStyles	missing	-	baseline
help/help.go::func::DefaultLightStyles	missing	-	baseline
help/help.go::func::DefaultStyles	missing	-	baseline
help/help.go::func::New	missing	-	baseline
help/help.go::method::Model.FullHelpView	missing	-	baseline
help/help.go::method::Model.SetWidth	missing	-	baseline
help/help.go::method::Model.ShortHelpView	missing	-	baseline
help/help.go::method::Model.Update	missing	-	baseline
help/help.go::method::Model.View	missing	-	baseline
help/help.go::method::Model.Width	missing	-	baseline
help/help.go::struct::Model	missing	-	baseline
help/help.go::struct::Styles	missing	-	baseline
help/help.go::type::KeyMap	missing	-	baseline
internal/memoization/memoization.go::method::HInt.Hash	missing	-	baseline
internal/memoization/memoization.go::method::HString.Hash	missing	-	baseline
internal/memoization/memoization.go::method::T].Capacity	missing	-	baseline
internal/memoization/memoization.go::method::T].Get	missing	-	baseline
internal/memoization/memoization.go::method::T].Set	missing	-	baseline
internal/memoization/memoization.go::method::T].Size	missing	-	baseline
internal/memoization/memoization.go::struct::MemoCache	missing	-	baseline
internal/memoization/memoization.go::type::HInt	missing	-	baseline
internal/memoization/memoization.go::type::HString	missing	-	baseline
internal/memoization/memoization.go::type::Hasher	missing	-	baseline
internal/runeutil/runeutil.go::func::NewSanitizer	missing	-	baseline
internal/runeutil/runeutil.go::func::ReplaceNewlines	missing	-	baseline
internal/runeutil/runeutil.go::func::ReplaceTabs	missing	-	baseline
internal/runeutil/runeutil.go::method::sanitizer.Sanitize	missing	-	baseline
internal/runeutil/runeutil.go::type::Option	missing	-	baseline
internal/runeutil/runeutil.go::type::Sanitizer	missing	-	baseline
key/key.go::func::NewBinding	missing	-	baseline
key/key.go::func::WithDisabled	missing	-	baseline
key/key.go::func::WithHelp	missing	-	baseline
key/key.go::func::WithKeys	missing	-	baseline
key/key.go::method::Binding.Enabled	missing	-	baseline
key/key.go::method::Binding.Help	missing	-	baseline
key/key.go::method::Binding.Keys	missing	-	baseline
key/key.go::method::Binding.SetEnabled	missing	-	baseline
key/key.go::method::Binding.SetHelp	missing	-	baseline
key/key.go::method::Binding.SetKeys	missing	-	baseline
key/key.go::method::Binding.Unbind	missing	-	baseline
key/key.go::struct::Binding	missing	-	baseline
key/key.go::struct::Help	missing	-	baseline
key/key.go::type::BindingOpt	missing	-	baseline
list/defaultitem.go::func::NewDefaultDelegate	missing	-	baseline
list/defaultitem.go::func::NewDefaultItemStyles	missing	-	baseline
list/defaultitem.go::method::DefaultDelegate.FullHelp	missing	-	baseline
list/defaultitem.go::method::DefaultDelegate.Height	missing	-	baseline
list/defaultitem.go::method::DefaultDelegate.Render	missing	-	baseline
list/defaultitem.go::method::DefaultDelegate.SetHeight	missing	-	baseline
list/defaultitem.go::method::DefaultDelegate.SetSpacing	missing	-	baseline
list/defaultitem.go::method::DefaultDelegate.ShortHelp	missing	-	baseline
list/defaultitem.go::method::DefaultDelegate.Spacing	missing	-	baseline
list/defaultitem.go::method::DefaultDelegate.Update	missing	-	baseline
list/defaultitem.go::struct::DefaultDelegate	missing	-	baseline
list/defaultitem.go::struct::DefaultItemStyles	missing	-	baseline
list/defaultitem.go::type::DefaultItem	missing	-	baseline
list/keys.go::func::DefaultKeyMap	missing	-	baseline
list/keys.go::struct::KeyMap	missing	-	baseline
list/list.go::const::FilterApplied	missing	-	baseline
list/list.go::const::Filtering	missing	-	baseline
list/list.go::const::Unfiltered	missing	-	baseline
list/list.go::func::DefaultFilter	missing	-	baseline
list/list.go::func::New	missing	-	baseline
list/list.go::func::UnsortedFilter	missing	-	baseline
list/list.go::method::FilterState.String	missing	-	baseline
list/list.go::method::Model.Cursor	missing	-	baseline
list/list.go::method::Model.CursorDown	missing	-	baseline
list/list.go::method::Model.CursorUp	missing	-	baseline
list/list.go::method::Model.DisableQuitKeybindings	missing	-	baseline
list/list.go::method::Model.FilterState	missing	-	baseline
list/list.go::method::Model.FilterValue	missing	-	baseline
list/list.go::method::Model.FilteringEnabled	missing	-	baseline
list/list.go::method::Model.FullHelp	missing	-	baseline
list/list.go::method::Model.GlobalIndex	missing	-	baseline
list/list.go::method::Model.GoToEnd	missing	-	baseline
list/list.go::method::Model.GoToStart	missing	-	baseline
